timestamp,steering_angle,steering_angle_velocity,Speed,Acceleration,drive_jerk
1378027000000,0.0,1.0,25.0,1.0,1.0
1378159000000,0.0,1.0,25.0,1.0,1.0
1378423000000,0.0,1.0,25.0,1.0,1.0
1378478000000,0.0,1.0,25.0,1.0,1.0
1378689000000,0.0,1.0,25.0,1.0,1.0
1378754000000,0.0,1.0,25.0,1.0,1.0
1378855000000,0.0,1.0,25.0,1.0,1.0
1379021000000,1.0,1.0,0.0,1.0,1.0
1379130000000,1.0,1.0,0.0,1.0,1.0
1379241000000,-1.0,1.0,0.0,1.0,1.0
1379354000000,0.0,1.0,25.0,1.0,1.0
1379410000000,0.0,1.0,25.0,1.0,1.0
1379467000000,0.0,1.0,25.0,1.0,1.0
1379530000000,0.0,1.0,25.0,1.0,1.0
1379536000000,0.0,1.0,25.0,1.0,1.0
1379542000000,0.0,1.0,25.0,1.0,1.0
1379551000000,0.0,1.0,25.0,1.0,1.0
1379562000000,0.0,1.0,25.0,1.0,1.0
1379568000000,0.0,1.0,25.0,1.0,1.0
1379576000000,0.0,1.0,25.0,1.0,1.0
1379586000000,0.0,1.0,25.0,1.0,1.0
1379588000000,0.0,1.0,25.0,1.0,1.0
1379594000000,0.0,1.0,25.0,1.0,1.0
1379597000000,0.0,1.0,25.0,1.0,1.0
1379604000000,0.0,1.0,25.0,1.0,1.0
1379607000000,0.0,1.0,25.0,1.0,1.0
1379614000000,0.0,1.0,25.0,1.0,1.0
1379620000000,0.0,1.0,25.0,1.0,1.0
1379628000000,0.0,1.0,25.0,1.0,1.0
1379635000000,0.0,1.0,25.0,1.0,1.0
1379640000000,0.0,1.0,25.0,1.0,1.0
1379647000000,0.0,1.0,25.0,1.0,1.0
1379652000000,0.0,1.0,25.0,1.0,1.0
1379657000000,0.0,1.0,25.0,1.0,1.0
1379662000000,0.0,1.0,25.0,1.0,1.0
1379667000000,0.0,1.0,25.0,1.0,1.0
1379675000000,0.0,1.0,25.0,1.0,1.0
1379681000000,0.0,1.0,25.0,1.0,1.0
1379685000000,0.0,1.0,25.0,1.0,1.0
1379688000000,0.0,1.0,25.0,1.0,1.0
1379692000000,0.0,1.0,25.0,1.0,1.0
1379697000000,0.0,1.0,25.0,1.0,1.0
