timestamp,steering_angle,steering_angle_velocity,Speed,Acceleration,drive_jerk
466292000000.000000,0.0,1.0,5.0,1.0,1.0
466418000000.000000,0.0,1.0,5.0,1.0,1.0
466505000000.000000,0.0,1.0,5.0,1.0,1.0
466545000000.000000,0.0,1.0,5.0,1.0,1.0
466611000000.000000,0.0,1.0,5.0,1.0,1.0
466618000000.000000,0.0,1.0,5.0,1.0,1.0
466619000000.000000,0.0,1.0,5.0,1.0,1.0
466631000000.000000,0.0,1.0,5.0,1.0,1.0
466639000000.000000,0.0,1.0,5.0,1.0,1.0
466643000000.000000,0.0,1.0,5.0,1.0,1.0
466647000000.000000,0.0,1.0,5.0,1.0,1.0
466653000000.000000,0.0,1.0,5.0,1.0,1.0
466656000000.000000,0.0,1.0,5.0,1.0,1.0
466662000000.000000,0.0,1.0,5.0,1.0,1.0
466663000000.000000,0.0,1.0,5.0,1.0,1.0
466669000000.000000,0.0,1.0,5.0,1.0,1.0
466675000000.000000,0.0,1.0,5.0,1.0,1.0
466679000000.000000,0.0,1.0,5.0,1.0,1.0
466684000000.000000,0.0,1.0,5.0,1.0,1.0
466690000000.000000,0.0,1.0,5.0,1.0,1.0
466693000000.000000,0.0,1.0,5.0,1.0,1.0
466695000000.000000,0.0,1.0,5.0,1.0,1.0
466713000000.000000,0.0,1.0,5.0,1.0,1.0
469619000000.000000,0.0,1.0,5.0,1.0,1.0
469666000000.000000,0.0,1.0,5.0,1.0,1.0
469712000000.000000,0.0,1.0,5.0,1.0,1.0
469769000000.000000,0.0,1.0,5.0,1.0,1.0
469822000000.000000,0.0,1.0,5.0,1.0,1.0
469880000000.000000,0.0,1.0,5.0,1.0,1.0
469919000000.000000,0.0,1.0,5.0,1.0,1.0
470049000000.000000,0.0,1.0,5.0,1.0,1.0
470103000000.000000,0.0,1.0,5.0,1.0,1.0
470136000000.000000,0.0,1.0,5.0,1.0,1.0
470417000000.000000,0.0,1.0,5.0,1.0,1.0
470453000000.000000,0.0,1.0,5.0,1.0,1.0
470498000000.000000,0.0,1.0,5.0,1.0,1.0
470552000000.000000,0.0,1.0,5.0,1.0,1.0
470592000000.000000,0.0,1.0,5.0,1.0,1.0
470650000000.000000,0.0,1.0,5.0,1.0,1.0
470680000000.000000,0.0,1.0,5.0,1.0,1.0
470719000000.000000,0.0,1.0,5.0,1.0,1.0
470795000000.000000,0.0,1.0,5.0,1.0,1.0
470822000000.000000,0.0,1.0,5.0,1.0,1.0
470854000000.000000,0.0,1.0,5.0,1.0,1.0
470904000000.000000,0.0,1.0,5.0,1.0,1.0
470936000000.000000,0.0,1.0,5.0,1.0,1.0
470970000000.000000,0.0,1.0,5.0,1.0,1.0
471003000000.000000,0.0,1.0,5.0,1.0,1.0
471038000000.000000,0.0,1.0,5.0,1.0,1.0
471096000000.000000,0.0,1.0,5.0,1.0,1.0
471098000000.000000,0.0,1.0,5.0,1.0,1.0
